Open,High,Low,Close,Adj Close,Volume
1244.14,1257.87,1240.68,1256.27,1256.27,1429000
1255.9,1256.56,1242.97,1245.86,1245.86,1366500
1255.0,1267.17,1252.8,1264.65,1264.65,1846300
1263.4,1269.49,1247.21,1254.44,1254.44,1505200
1252.21,1252.55,1225.75,1231.8,1231.8,2115400
1222.52,1227.87,1206.56,1211.31,1211.31,2072900
1209.22,1214.87,1175.34,1199.1,1199.1,2699400
1198.57,1198.99,1163.61,1183.99,1183.99,2342700
1172.0,1188.55,1169.27,1177.59,1177.59,1632900
1184.2,1186.66,1170.61,1175.06,1175.06,1383500
1171.1,1190.94,1165.95,1189.99,1189.99,1462700
1182.0,1190.69,1166.16,1171.6,1171.6,1785800
1179.7,1187.86,1169.22,1182.14,1182.14,2003400
1188.0,1188.0,1173.52,1177.98,1177.98,1208800
1177.77,1181.82,1158.46,1159.83,1159.83,1704800
1162.66,1181.33,1161.43,1167.11,1167.11,1615700
1168.96,1176.27,1158.62,1174.27,1174.27,1298100
1180.67,1194.0,1176.25,1191.57,1191.57,1462200
1194.92,1196.58,1172.06,1172.12,1172.12,4561100
1159.41,1185.19,1151.5,1179.56,1179.56,1557500
1184.25,1196.86,1174.09,1193.89,1193.89,1657600
1193.69,1207.24,1185.4,1194.06,1194.06,1882500
1200.0,1216.86,1198.05,1207.36,1207.36,1813700
1204.09,1208.45,1197.83,1207.08,1207.08,1780600
1213.0,1224.2,1203.19,1208.53,1208.53,1658200
1206.67,1224.52,1199.66,1207.64,1207.64,2009000
1212.0,1214.18,1202.15,1211.53,1211.53,1312300
1205.03,1205.9,1163.85,1177.07,1177.07,2328800
1176.0,1182.0,1154.32,1167.83,1167.83,1592600
1160.0,1175.86,1135.4,1155.92,1155.92,2309500
1151.31,1161.55,1144.17,1145.17,1145.17,1684500
1136.4,1137.02,1091.51,1092.16,1092.16,2949000
1079.04,1116.06,1075.89,1090.74,1090.74,3384800
1119.64,1125.83,1095.03,1120.54,1120.54,2468500
1118.0,1121.8,1098.22,1102.44,1102.44,1503700
1113.48,1136.37,1111.75,1133.08,1133.08,1918900
1140.0,1147.0,1114.0,1127.59,1127.59,1782600
1130.0,1132.35,1086.34,1097.91,1097.91,2307600
1103.71,1120.95,1097.03,1105.18,1105.18,2064300
1112.51,1121.69,1100.0,1111.37,1111.37,1355800
1091.29,1118.0,1079.01,1114.91,1114.91,1884300
1115.0,1116.62,1055.06,1057.12,1057.12,2464300
1080.3,1117.82,1075.55,1103.59,1103.59,3647800
1048.33,1117.0,1042.23,1083.75,1083.75,5321900
1096.54,1108.83,1007.2,1034.73,1034.73,4064500
1020.01,1050.9,1013.97,1049.51,1049.51,2988400
1068.2,1108.0,1068.2,1090.58,1090.58,3545800
1091.4,1099.9,1077.82,1085.98,1085.98,2006600
1089.0,1098.0,1067.66,1071.49,1071.49,2171900
1072.53,1073.35,1034.0,1055.73,1055.73,2267900
1055.02,1079.82,1053.61,1069.57,1069.57,1433000
1083.49,1109.93,1080.59,1108.24,1108.24,2169400
1107.3,1108.22,1084.36,1094.63,1094.63,1684700
1084.02,1088.35,1064.26,1077.02,1077.02,1743000
1073.13,1074.1,1040.35,1049.36,1049.36,1700100
1054.81,1066.67,1040.4,1047.97,1047.97,1287500
1060.0,1065.79,1041.11,1054.58,1054.58,1733300
1051.46,1078.87,1041.29,1071.05,1071.05,2079200
1065.23,1072.44,1054.9,1068.27,1068.27,1768300
1063.39,1068.0,1022.87,1027.42,1027.42,2284200
1007.29,1037.35,1002.21,1030.45,1030.45,2722900
1045.31,1054.71,1039.46,1043.43,1043.43,1484900
1033.5,1043.0,1028.52,1030.1,1030.1,708900
1044.0,1057.0,1039.77,1055.94,1055.94,1577900
1051.34,1066.76,1045.5,1052.28,1052.28,1652400
1057.46,1092.86,1042.95,1091.79,1091.79,2302100
1083.53,1100.15,1082.0,1094.58,1094.58,1550200
1095.63,1109.65,1083.18,1109.65,1109.65,2983400
1132.16,1135.0,1111.73,1116.36,1116.36,2876600
1112.99,1114.24,1060.78,1062.47,1062.47,2281500
1045.0,1079.42,1042.48,1078.08,1078.08,2371800
1072.23,1085.03,1039.37,1046.58,1046.58,2134100
1042.94,1059.6,1033.0,1053.18,1053.18,1682600
1066.94,1070.4,1050.1,1061.65,1061.65,1692600
1077.08,1091.73,1071.97,1073.73,1073.73,1448000
1075.67,1088.42,1064.99,1073.54,1073.54,1249300
1060.02,1071.72,1049.37,1051.71,1051.71,1817900
1047.01,1062.38,1016.63,1025.65,1025.65,2496600
1034.0,1059.69,1030.48,1043.41,1043.41,2182000
1047.29,1075.71,1019.43,1035.46,1035.46,2913200
1026.0,1047.44,1007.86,1023.58,1023.58,2683700
1032.04,1037.67,981.19,991.25,991.25,5232800
984.32,1012.12,977.66,984.67,984.67,1818000
997.99,1048.45,992.65,1047.85,1047.85,2315900
1026.2,1053.34,1007.0,1052.9,1052.9,2299800
1059.5,1064.23,1042.0,1046.68,1046.68,1719900
1057.83,1062.99,1033.04,1044.96,1044.96,1655500
1027.2,1060.79,1025.28,1054.68,1054.68,1593400
1050.67,1066.26,1022.37,1025.47,1025.47,2098000
1042.56,1080.0,1036.86,1078.07,1078.07,2301100
